model,drive_days,failures,annualized_failure_rate_pct
TOSHIBA MG08ACA16TEY,1843841,318,6.295
ST10000NM0086,367460,57,5.6618
ST12000NM0007,366658,55,5.4751
ST14000NM0138,467111,68,5.3135
HGST HUH721212ALN604,3628418,393,3.9534
HGST HUH728080ALE600,389340,38,3.5624
ST24000NM002H,1941010,146,2.7455
HGST HUH721212ALE604,4853717,358,2.6922
ST12000NM0008,6877112,486,2.5794
TOSHIBA MG07ACA14TEY,324488,20,2.2497
ST14000NM000J,117113,7,2.1817
ST8000NM0055,4870236,291,2.1809
WDC WUH721816ALE6L0,1092886,59,1.9705
ST8000DM002,3276650,156,1.7378
ST14000NM001G,3849616,142,1.3464
TOSHIBA MG08ACA16TE,2188375,79,1.3176
TOSHIBA MG07ACA14TA,13654728,432,1.1548
ST12000NM001G,4817914,127,0.9621
TOSHIBA MG08ACA16TA,14623715,362,0.9035
WDC WUH721414ALE6L4,3141290,70,0.8134
TOSHIBA MG11ACA24TE,374087,7,0.683
WDC WUH721816ALE6L4,9615277,174,0.6605
HGST HUH721212ALE600,951081,17,0.6524
TOSHIBA MG10ACA20TE,4909379,80,0.5948
ST16000NM001G,12381689,182,0.5365
HGST HMS5C4040BLE640,375277,5,0.4863
WDC WUH722222ALE6L4,13612879,177,0.4746
ST12000NM000J,347582,4,0.42
ST16000NM002J,168586,1,0.2165
Seagate BarraCuda 120 SSD ZA250CM10003,391576,0,0.0
DELLBOSS VD,157243,0,0.0
CT250MX500SSD1,258184,0,0.0
Seagate BarraCuda SSD ZA250CM10002,177180,0,0.0
